0	fake	Marielle> BANDIDOS Narco-traficantes-Militias stepped on the PCC ball> Commander of the crime # PT's Arms #Criminal Organization Murdered by THIAGO- MACACO Midia to accuse those who destroyed the dream #GRANDEPATRIA @ECantanhede @CarvalhosaMo @CarlosBolsonaro @RenovMidiaITEFC .twitter.com / 8HTb0VVmj8
1	fake	Well, the latest news about this is that Marielle's real killer is not those accused but an element code-named Macaco ". That is, he did not stick the Bolsonaro x Marielle relationship. Review his sources."
2	fake	@jornalnacional lived with news from Marielle for 3 months almost every day. Why did the reports stop? Just because it was discovered that your killer was Thiago monkey? Black slum and linked to trafficking? Bonemer vc is the supreme juice of the ridiculous.
3	fake	Cesari Battisti confessed his crimes, the left was silent; MARIELLE's killer was discovered, the left fell silent and now Lulatro confessed, the left stuck his tongue where my monkey the cashew. Demagogues, hypocrites and Pharisees
4	true	[Agência Lupa] We verified: It is false that Thiago Macaco was identified as Marielle's murderer https: // piaui.folha.uol.com.br/lupa/2019/04/0 1 / we checked-marielle-imprisoned-thiago /…
5	true	UP IN THE AIR. Thiago Macaco is not accused by the police of murdering Marielle. https: // aosfatos.org/noticias/thiag the-monkey-is-not-accused-by-the-police-of-murdering-marielle /… pic.twitter.com/RucmWUvSoT
6	true	Have you found out who sent it yet? Who did Marielle bother with, anyway? The link between trafficking and militias has always been known. Are you playing naive now? The news of thiago monkey is old.
7	fake	Thiago Macaco is arrested for involvement in the death of Marielle - Brazil - iG https: // ultimosegundo.ig.com.br/brasil/2018-05 -30 / marielle-franco-thiago-monkey.html…
8	fake	Shall we talk about Marielle? Why did you stop talking about her? Why did Thiago Macaco from the red, black, poor, drug dealer party confess? You are very naughty Boulos! https: // twitter.com/GuilhermeBoulo s / status / 1111372441551433728…
9	fake	Bolsonarista killer is good hahahahahaha As for the death of this Marielle, Thiago Macaco (black and poor) is under arrest. Marielle was killed by the same killers that PSOL usually defends.
10	fake	Whoever killed Marielle was a drug dealer named Tiago Macaco. Drug dealer. Bandit. You created Frankstein and he turned against you. But the police have to be blamed, don't they?
