TweetID,predictions,distances
865434540873056256,Positive,0.0009457608684897423
863252651290570752,Positive,0.0031193832401186228
864904383514935297,Positive,0.9959348440170288
863595543787958274,Negative,0.0011886230204254389
864178018964709376,Neutral,0.0015296331839635968
864681365442310145,Positive,0.9972816705703735
864120098625376257,Positive,0.005368850659579039
864707677573832704,Neutral,0.006644393317401409
862706377973800961,Positive,0.9879867434501648
864492973668667393,Negative,0.9857106804847717
864905091064754176,Positive,0.010484547354280949
864650052538683392,Positive,0.0038047279231250286
862744519921586176,Positive,0.006495007313787937
864526059336720384,Positive,0.9811378717422485
864654694647562241,Neutral,0.012367021292448044
863168203316506624,Negative,0.001056714914739132
864664403303682049,Positive,0.0027323132380843163
865051937703677952,Positive,0.9962109327316284
865073868855275520,Positive,0.001599493669345975
862155852731609088,Positive,0.00261282897554338
864602108070432769,Positive,0.9957876801490784
864481174391058432,Positive,0.0064554219134151936
863086194716008448,Positive,0.5293766260147095
865901040855650307,Positive,0.46416792273521423
865537610239713281,Positive,0.0009644212550483644
862152072266960896,Negative,0.0022198776714503765
864895883594407940,Positive,0.9968157410621643
864532036060676101,Negative,0.9937534928321838
864653804456857601,Neutral,0.004566391929984093
865429930095460352,Positive,0.0016802053432911634
862158300732952576,Positive,0.0010499837808310986
865054139256123392,Negative,0.001828187145292759
864653095783071744,Neutral,0.9971217513084412
864654653627215872,Neutral,0.002503586933016777
862723945564442625,Positive,0.011907023377716541
864496419520040961,Positive,0.9855894446372986
864654680017842176,Positive,0.14500893652439117
865268877483286528,Neutral,0.14324210584163666
864466930534686721,Negative,0.7117489576339722
865582945695694848,Positive,0.003098779357969761
864651377745833984,Positive,0.01629507914185524
862359065598586880,Positive,0.9806061387062073
864656317721530371,Negative,0.004357971716672182
864700915860856832,Neutral,0.7719016075134277
864332310354722816,Positive,0.22374041378498077
864672481155698688,Negative,0.9944660067558289
863249603667341313,Positive,0.0020457813516259193
862667600651845633,Positive,0.0034882465843111277
864905603575099393,Positive,0.0009596015443094075
864179922411106304,Positive,0.0022630493622273207
864657138769162241,Negative,0.996777355670929
863585404305498112,Neutral,0.0027216372545808554
865057338545364992,Positive,0.08738424628973007
863163096927522816,Neutral,0.9098941683769226
865566068022161408,Negative,0.0010743812890723348
864703330710429696,Positive,0.003280529985204339
865682710152572928,Neutral,0.9956451654434204
862673564960477184,Positive,0.4232530891895294
862155853478187008,Positive,0.10035289824008942
862517121762439170,Positive,0.47639408707618713
864334706350981120,Neutral,0.0017589177004992962
864700471428218882,Negative,0.001603704527951777
864689473233268736,Neutral,0.9966373443603516
864119845901787140,Neutral,0.0010002569761127234
865051872318640128,Neutral,0.0030997362919151783
862164557548204033,Neutral,0.9958999752998352
862304902437097473,Negative,0.0010020957561209798
864164943557472256,Positive,0.0021811414044350386
864656324730204165,Negative,0.9968168139457703
862146369515126784,Neutral,0.0025059187319129705
863586662554750976,Neutral,0.004864730406552553
863579647954608129,Neutral,0.9926292896270752
862156475229249536,Negative,0.09512655436992645
862006212212248576,Positive,0.08681876212358475
863572429611966464,Positive,0.8180546164512634
862524021061165056,Neutral,0.9901835322380066
865073535831740416,Neutral,0.006834510713815689
864702264690266112,Positive,0.0029820601921528578
861283537772838913,Positive,0.0019196573412045836
863795423693213696,Positive,0.02599545754492283
862152683523801088,Negative,0.9720848202705383
862360553292914688,Neutral,0.9927629828453064
864311437157703681,Positive,0.005712517537176609
864666793427824640,Neutral,0.0015245478134602308
864426675467157506,Neutral,0.02464682050049305
864837147689443330,Negative,0.5625649094581604
865061975465877504,Positive,0.4127882719039917
864688807068782594,Positive,0.0031565751414746046
862669973075918848,Neutral,0.003647817298769951
864696368635535363,Negative,0.993195652961731
864126103052587009,Positive,0.001262571313418448
863588751959887872,Neutral,0.001508690300397575
864672468736364544,Positive,0.9972286820411682
863573344158969856,Positive,0.7021151185035706
864662776463204353,Negative,0.25308123230934143
862305865998716929,Neutral,0.04480365291237831
862153339546599424,Neutral,0.008905794471502304
865247795510464513,Neutral,0.7144748568534851
864127090010075137,Neutral,0.2766193449497223
863035373416583168,Neutral,0.003435326972976327
865261315954233345,Neutral,0.9299178123474121
863139641230327809,Neutral,0.06664688885211945
864896774980370434,Negative,0.007851099595427513
865425960312512514,Positive,0.2528285086154938
864893742842601472,Neutral,0.7393203973770142
862512135989055488,Positive,0.0011353709269315004
865220822369173504,Negative,0.0016410192474722862
862308975252996097,Positive,0.9972236156463623
862481734117588992,Neutral,0.00348170124925673
